hw,batch_size,network,backends,mean_perf,std_perf
v100,1,resnext50_32x4d,autotvm,1.9324,0.0002
v100,1,resnext50_32x4d,autotvm-cublas,1.9341,0.0009
v100,1,resnext50_32x4d,autotvm-cublas-cudnn,1.8896,0.0002
v100,1,resnext50_32x4d,autotvm-cublas-cudnn-tensorrt,1.7988,0.0003
v100,1,nasneta,autotvm,2.6447,0.0008
v100,1,nasneta,autotvm-cublas,2.6438,0.0011
v100,1,nasneta,autotvm-cublas-cudnn,2.6438,0.0007
v100,1,nasneta,autotvm-cublas-cudnn-tensorrt,2.6425,0.0007
v100,1,resnet50_3d,autotvm,19.0898,0.0015
v100,1,resnet50_3d,autotvm-cublas,19.087,0.0011
v100,1,resnet50_3d,autotvm-cublas-cudnn,5.4188,0.0008
v100,1,resnet50_3d,autotvm-cublas-cudnn-tensorrt,5.4198,0.0011
v100,1,dcgan,autotvm,1.5824,0.0007
v100,1,dcgan,autotvm-cublas,1.2114,0.0006
v100,1,dcgan,autotvm-cublas-cudnn,1.1758,0.0004
v100,1,dcgan,autotvm-cublas-cudnn-tensorrt,1.0735,0.0001
v100,1,bert_full,autotvm,1.6769,0.0004
v100,1,bert_full,autotvm-cublas,1.4703,0.0003
v100,1,bert_full,autotvm-cublas-cudnn,1.1325,0.0003
v100,1,bert_full,autotvm-cublas-cudnn-tensorrt,1.0923,0.0007
